Accession	Submission Date	Title	Number of Raw Files
PXD048623	2024-01-17	Mechanism of chaperone coordination during cotranslational protein folding in bacteria	650
PXD034656	2022-06-19	Npl3 functions in mRNP assembly by recruitment of mRNP components to the transcription site and their transfer onto the mRNA	639
PXD038515	2022-12-02	TurboID reveals the interaction network of VESICLE-INDUCING PROTEIN IN PLASTIDS (VIPPs) in Chlamydomonas reinhardtii	632
PXD022903	2020-12-04	Combined Peptide array screen and proximity labeling proteomics fine map C/EBPa protein interactions	578
PXD024800	2021-03-17	Comprehensive micro-scaled proteome and phosphoproteome characterization of archived retrospective cancer repositories	529
PXD021114	2020-08-25	HspB8 controls hardening and molecular aging of FUS condensates by domain-specific protein interactions Part 1	517
PXD034796	2022-06-21	The CX-MS-based quantifitative proteomic analysis of interactome of plant nucleus	499
PXD027068	2021-07-02	Interactome analysis of C. elegans synapses by TurboID-based proximity labeling	440
PXD052832	2024-06-04	Crosslinking Interaction Network of Human Mitochondria	425
PXD026244	2021-05-25	Structural probing of Hsp26 activation and client binding by quantitative cross-linking mass spectrometry	413
PXD020602	2020-07-28	Identification of small molecule activators of the ubiquitin ligase E6AP/UBE3A and Angelman syndrome-derived E6AP/UBE3A variants	408
PXD035844	2022-08-07	Utilising crosslinking MS to explore protein structure and interactions	401
PXD033698	2022-05-05	Biochemical and structural insights into SARS-CoV-2 polyprotein processing by Mpro (HDX-MS continuous labeling)	397
PXD003754	2016-04-01	Global Membrane Protein Interactome Analysis using In vivo Crosslinking and MS-based Protein Correlation Profiling	396
PXD022369	2020-11-05	DNA damage-induced chromatome analysis in yeast reveals recruitment of Ubiquitin ligases for efficient DNA repairtest1	384
PXD013928	2019-05-20	Proteome-wide Cross-linking mass spectrometry	344
PXD059118	2024-12-21	Click-linking: a cell-compatible protein crosslinking method based on click chemistry	336
PXD004369	2016-06-20	DSS-induced colitis proteomics after A. caninum ES treatment	334
PXD041608	2023-04-18	Systematic Identification of Post-Transcriptional Regulatory Modules	324
PXD009783	2018-05-15	Proteomic proximity mapping by rapamycin-dependent targeting of APEX2	314
PXD017711	2020-02-25	In-cell architecture of an active transcription-translation complex	314
PXD030633	2021-12-24	Cellular Protein Client Recovery by Human Hsp40s DNAJB1 and DNAJB8	304
PXD055169	2024-08-24	Cysteine-enabled Cleavability to Advance Cross-linking Mass Spectrometry for Global Analysis of Endogenous Protein-Protein Interactions	301
PXD013507	2019-04-15	Modeling of DNA methylation in cis reveals principles of chromatin folding in vivo in the absence of crosslinking and ligation	288
PXD017620	2020-02-19	Cross-linking mass spectrometry of yeast mitochondria grown on different carbon sources reveal Ndi1, Min8 and Pet9 associated with the electron transport chain	280
PXD020859	2020-08-12	Cross-linking mass spectrometry uncovers protein interactions and functional assemblies in synaptic vesicle membranes	278
PXD002929	2015-09-17	Global Membrane Protein Interactome Analysis using In vivo Crosslinking and MS-based Protein Correlation Profiling	276
PXD033452	2022-04-25	SARS-CoV-2 proteins BioID in HEK293	273
PXD005612	2017-05-24	Capturig the Asc1p/RACK1 microenviroment at the head region of the 40S ribosome with quantitative BioID	265
PXD012759	2019-02-18	Crosslinking Proteomics Indicates Effects of Simvastatin on the TLR2 interactome and Reveals ACTR1A as a Novel Regulator of the TLR2 Signal Cascade	252
PXD005461	2016-11-30	Galectin-1 and Galectin-3 interactors	250
PXD003496	2016-01-21	Identification of the UT-A1 Urea Channel Interactome	248
PXD025391	2021-04-14	A3G-Vif-CBFB-CRL5 Cross-Linking with DSSO	247
PXD038018	2023-04-17	Deciphering intercellular signaling complexes by interaction-guided chemical proteomics	246
PXD015751	2019-10-09	Cellular interactome dynamics during paclitaxel treatment	245
PXD049054	2024-01-31	Light-induced targeting enables proteomics on endogenous condensates	244
PXD035195	2022-07-09	A core UPS molecular complement implicates unique endocytic compartments at the parasite-host interface in Giardia lamblia – crosslinking IP conditions	243
PXD014759	2019-07-25	Optimized parameter settings enhance proteome-wide formation of crosslinks on low-abundant proteins	240
PXD021831	2020-10-05	A comprehensive landscape of 60S ribosome biogenesis factors	240
PXD019926	2020-06-22	Expanding the depth and sensitivity of cross-link identification by differential ion mobility using FAIMS	235
PXD010520	2018-07-20	The Human RNA-Binding Proteome and Its Dynamics during Translational Arrest	234
